model,brand,sku,price_dt,old_price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone Tecno Spark Go 2025 2Go 64Go – Noir,Tecno,170371,289.000,289.000,2,64,5000,6.6,,8,4G,,Unisoc,Noir,1 an,Oui,"– Écran: 6,6 pouces HD+ Hole Screen (720 × 1600 pixels) 90 Hz – Processeur: Unisoc T606 (12 nm) Octa-core – Système d’exploitation: Android – RAM: 4Go (extensible jusqu’à 8Go) – Stockage: 64Go – Appareil Photo Arrière : 13 Mégapixels – Appareil Photo Frontale: 8MP – Connectivité: Wifi , 4G et Bluetooth 5.0 – Batterie: 5000mAh – Empreinte digitale – Double SIM – Couleur: Noir – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-tecno-spark-go-2025-2go-64go-noir-tunisie/
Smartphone Infinix Smart 10 3 Go 64 Go – Silver,Infinix,160867,265.000,,3,64,5000,6.7,8,8,4G,Android 15,Unisoc,Silver,1an,Oui,"Infinix Smart 10 – Ecran :6.7″ LCD IPS (720×1600 pixels), 120Hz – Processeur : Unisoc T7250 (12 nm) Octa-core – Système d’exploitation :Android 15/15 (édition Go), XOS 15.1 – Mémoire :3Go – Stockage :64Go – Appareil photo arrière : 8 MP + capteur de profondeur ; vidéo jusqu’à 2K @30fps – Avant :8 MP – Capacité de Batterie : 5000 mAh Charge rapide 15W – Connectivité : Wifi, 4G, Bluetooth – Capteur d’empreintes latéral, infrarouge (IR Blaster) – Double SIM –  Protection IP64 – Couleur : Silver – Garantie: 1an",https://bestbuytunisie.tn/smartphone-infinix-smart-10-3-go-64-go-silver-tunisie/
Smartphone Infinix Smart 10 3 Go 64 Go – Gold,Infinix,160874,265.000,,3,64,5000,6.7,8,8,4G,Android 15,Unisoc,Gold,1an,Oui,"Infinix Smart 10 – Ecran :6.7″ LCD IPS (720×1600 pixels), 120Hz – Processeur : Unisoc T7250 (12 nm) Octa-core – Système d’exploitation :Android 15/15 (édition Go), XOS 15.1 – Mémoire :3Go – Stockage :64Go – Appareil photo arrière : 8 MP + capteur de profondeur ; vidéo jusqu’à 2K @30fps – Avant :8 MP – Capacité de Batterie : 5000 mAh Charge rapide 15W – Connectivité : Wifi, 4G, Bluetooth – Capteur d’empreintes latéral, infrarouge (IR Blaster) – Double SIM –  Protection IP64 – Couleur : Gold – Garantie: 1an",https://bestbuytunisie.tn/smartphone-infinix-smart-10-3-go-64-go-gold-tunisie/
Smartphone Infinix Smart 10 3 Go 64 Go – Bleu,Infinix,160875,265.000,,3,64,5000,6.7,8,8,4G,Android 15,Unisoc,Bleu,1an,Oui,"Infinix Smart 10 – Ecran :6.7″ LCD IPS (720×1600 pixels), 120Hz – Processeur : Unisoc T7250 (12 nm) Octa-core – Système d’exploitation :Android 15/15 (édition Go), XOS 15.1 – Mémoire :3Go – Stockage :64Go – Appareil photo arrière : 8 MP + capteur de profondeur ; vidéo jusqu’à 2K @30fps – Avant :8 MP – Capacité de Batterie : 5000 mAh Charge rapide 15W – Connectivité : Wifi, 4G, Bluetooth – Capteur d’empreintes latéral, infrarouge (IR Blaster) – Double SIM –  Protection IP64 – Couleur : Bleu – Garantie: 1an",https://bestbuytunisie.tn/smartphone-infinix-smart-10-3-go-64-go-bleu-tunisie/
Smartphone Tecno Spark Go 2 3Go 64Go – Blanc,Tecno,170406,289.000,289.000,3,64,5000,,13,8,4G,Android 15,Unisoc,Blanc,1 an,Oui,"– Écran  : LCD IPS 6,67″ – Résolution : 720 x 1600 – Taux de rafraîchissement : 120 Hz – Processeur : Octa-core Unisoc T7250 (12 nm) – RAM : 3 Go – Stockage : 64 Go – Système opérateur: Android 15 – Réseau 4G – Caméra Avant : 8 MP, double flash avant – Caméra Arrière : 13 MP, double flash arrière – Indice de protection IP64 – Capteur d’empreintes digitales latéral – Télécommande infrarouge – Capacité de la batterie : 5000mAh – Charge rapide 15 W Type C – Deux haut-parleurs (Son DTS) – Double SIM – Couleur: Blanc – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-tecno-spark-go-2-3go-64go-blanc-tunisie/
Smartphone Tecno Spark Go 2 3Go 64Go – Bleu,Tecno,170414,289.000,289.000,3,64,5000,,13,8,4G,Android 15,Unisoc,Bleu,1 an,Oui,"– Écran  : LCD IPS 6,67″ – Résolution : 720 x 1600 – Taux de rafraîchissement : 120 Hz – Processeur : Octa-core Unisoc T7250 (12 nm) – RAM : 3 Go – Stockage : 64 Go – Système opérateur: Android 15 – Réseau 4G – Caméra Avant : 8 MP, double flash avant – Caméra Arrière : 13 MP, double flash arrière – Indice de protection IP64 – Capteur d’empreintes digitales latéral – Télécommande infrarouge – Capacité de la batterie : 5000mAh – Charge rapide 15 W Type C – Deux haut-parleurs (Son DTS) – Double SIM – Couleur: Bleu – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-tecno-spark-go-2-3go-64go-bleu-tunisie/
Smartphone Xiaomi Redmi A5 3 Go 64 Go – Vert,Xiaomi,158686,289.000,,3,64,5200,,32,8,4G,Android 15,Unisoc,Vert,1 an,Oui,"Smartphone Xiaomi Redmi A5 – Écran : LCD IPS 6.88″ – Résolution : 1640 x 720 pixels – Taux de rafraîchissement : 120 Hz – Luminosité : 450 nits (type) -Double SIM – Processeur : UNISOC T7250 (Technologie 12 nm, octa-core, CPU : Jusqu’à 1,8 GHz) – RAM : 3 Go – Stockage : 64 Go – Caméra arrière principale : 32 MP – Caméra frontale : 8 MP – Batterie : 5200 mAh – Charge USB Type-C – Capteur d’empreintes digitales latéral – Déverrouillage facial via l’IA – Capteur de proximité virtuelle, Capteur de lumière ambiante virtuelle, Accéléromètre, Boussole électronique – prend en charge microSD – Réseau 4G – Wi-Fi – Bluetooth 5.2 – Prise casque : 3.5 mm – Système opérateur: Android 15 – Couleur : Vert – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-a5-3-go-64-go-vert-tunisie/
Smartphone Xiaomi Redmi A5 3 Go 64 Go – Noir,Xiaomi,158796,289.000,,3,64,5200,,32,8,4G,Android 15,Unisoc,Noir,1 an,Oui,"Smartphone Xiaomi Redmi A5 – Écran : LCD IPS 6.88″ – Résolution : 1640 x 720 pixels – Taux de rafraîchissement : 120 Hz – Luminosité : 450 nits (type) -Double SIM – Processeur : UNISOC T7250 (Technologie 12 nm, octa-core, CPU : Jusqu’à 1,8 GHz) – RAM : 3 Go – Stockage : 64 Go – Caméra arrière principale : 32 MP – Caméra frontale : 8 MP – Batterie : 5200 mAh – Charge USB Type-C – Capteur d’empreintes digitales latéral – Déverrouillage facial via l’IA – Capteur de proximité virtuelle, Capteur de lumière ambiante virtuelle, Accéléromètre, Boussole électronique – prend en charge microSD – Réseau 4G – Wi-Fi – Bluetooth 5.2 – Prise casque : 3.5 mm – Système opérateur: Android 15 – Couleur : Noir – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-a5-3-go-64-go-noir-tunisie/
Smartphone Xiaomi Redmi A5 3 Go 64 Go – Gold,Xiaomi,158799,289.000,,3,64,5200,,32,8,4G,Android 15,Unisoc,Gold,1 an,Oui,"Smartphone Xiaomi Redmi A5 – Écran : LCD IPS 6.88″ – Résolution : 1640 x 720 pixels – Taux de rafraîchissement : 120 Hz – Luminosité : 450 nits (type) -Double SIM – Processeur : UNISOC T7250 (Technologie 12 nm, octa-core, CPU : Jusqu’à 1,8 GHz) – RAM : 3 Go – Stockage : 64 Go – Caméra arrière principale : 32 MP – Caméra frontale : 8 MP – Batterie : 5200 mAh – Charge USB Type-C – Capteur d’empreintes digitales latéral – Déverrouillage facial via l’IA – Capteur de proximité virtuelle, Capteur de lumière ambiante virtuelle, Accéléromètre, Boussole électronique – prend en charge microSD – Réseau 4G – Wi-Fi – Bluetooth 5.2 – Prise casque : 3.5 mm – Système opérateur: Android 15 – Couleur : Gold – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-a5-3-go-64-go-gold-tunisie/
Smartphone Xiaomi Redmi A5 3 Go 64 Go – Bleu,Xiaomi,158800,289.000,,3,64,5200,,32,8,4G,Android 15,Unisoc,Bleu,1 an,Oui,"Smartphone Xiaomi Redmi A5 – Écran : LCD IPS 6.88″ – Résolution : 1640 x 720 pixels – Taux de rafraîchissement : 120 Hz – Luminosité : 450 nits (type) -Double SIM – Processeur : UNISOC T7250 (Technologie 12 nm, octa-core, CPU : Jusqu’à 1,8 GHz) – RAM : 3 Go – Stockage : 64 Go – Caméra arrière principale : 32 MP – Caméra frontale : 8 MP – Batterie : 5200 mAh – Charge USB Type-C – Capteur d’empreintes digitales latéral – Déverrouillage facial via l’IA – Capteur de proximité virtuelle, Capteur de lumière ambiante virtuelle, Accéléromètre, Boussole électronique – prend en charge microSD – Réseau 4G – Wi-Fi – Bluetooth 5.2 – Prise casque : 3.5 mm – Système opérateur: Android 15 – Couleur : Bleu – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-a5-3-go-64-go-bleu-tunisie/
