name,brand,price_tnd,original_price_tnd,discount_percent,ram_gb,storage_gb,color,network,availability,product_url,image_url,category,source,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,os,processor_type
SAMSUNG GALAXY A36 5G 8GB 128GB Lavender,Samsung,949.0,1.1,-86172.7,8.0,128.0,Lavender,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a36-5g-8gb-128gb-lavender/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,,Octa Core
SAMSUNG GALAXY A36 5G 8GB 128GB Light Green,Samsung,949.0,1.1,-86172.7,8.0,128.0,Green,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a36-5g-8gb-128gb-light-green/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,,Octa Core
SAMSUNG GALAXY A36 5G 8GB 128GB Lime,Samsung,949.0,1.1,-86172.7,8.0,128.0,Lime,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a36-5g-8gb-128gb-lime/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,,Octa Core
SAMSUNG GALAXY A36 5G 8GB 128GB Noir,Samsung,949.0,1.1,-86172.7,8.0,128.0,Noir,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a36-5g-8gb-128gb-noir/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,,Octa Core
SAMSUNG GALAXY A26 5G 6GB 128GB Blanc,Samsung,749.0,800.0,6.4,6.0,128.0,Blanc,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a26-5g-8gb-128gb-blanc/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,Android 15,Octa Core
SAMSUNG GALAXY A26 5G 6GB 128GB Noir,Samsung,749.0,800.0,6.4,6.0,128.0,Noir,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a26-5g-6gb-128gb-noir/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,Android 15,Octa Core
Samsung Galaxy A16 6GB 128GB Blanc,Samsung,549.0,599.0,8.3,6.0,128.0,Blanc,4G,In Stock,https://bestphone.tn/product/samsung-galaxy-a16-6gb-128gb-blanc/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,Android 14,Octa Core
Samsung Galaxy A16 6GB 128GB Noir,Samsung,549.0,599.0,8.3,6.0,128.0,Noir,4G,In Stock,https://bestphone.tn/product/samsung-galaxy-a16-6gb-128gb-noir/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,Android 14,Octa Core
Samsung Galaxy A16 6GB 128GB Vert,Samsung,549.0,599.0,8.3,6.0,128.0,Vert,4G,In Stock,https://bestphone.tn/product/samsung-galaxy-a16-6gb-128gb-vert/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,Android 14,Octa Core
Samsung Galaxy A16 4GB 128GB Blanc,Samsung,499.0,549.0,9.1,4.0,128.0,Blanc,4G,In Stock,https://bestphone.tn/product/samsung-galaxy-a16-4gb-128gb-blanc/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,,Android 14,Octa Core
