model,brand,reference,price_dt,old_price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone LESIA YOUNG 1 2Go 16Go - Bleu Foncé,Lesia,YOUNG1-2/16-DBLUE,159.900,,2,16.0,2500.0,5.5,5.0,2.0,,,Quad Core,Bleu Foncé,,Oui,"Smartphone LESIA YOUNG 1 2Go 16Go - Bleu Foncé [YOUNG1-2/16-DBLUE] Ecran 5.5"" IPS (480 x 960 pixels) - Processeur: Sc7731 Quad-core (4xA7 1.3ghz) - Mémoire RAM: 2 Go - Capacité Stockage : 16 Go - Appareil Photo Arrière: 5 Mégapixels - Appareil Photo Avant: 2 Mégapixels - Double SIM - Ca... 159,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-1-2go-16go-bleu-fonce.html
Smartphone LESIA YOUNG 1 2Go 16Go - Vert,Lesia,YOUNG1-2/16-GREEN,159.900,,2,16.0,2500.0,5.5,5.0,2.0,,,Quad Core,Vert,,Oui,"Smartphone LESIA YOUNG 1 2Go 16Go - Vert [YOUNG1-2/16-GREEN] Ecran 5.5"" IPS (480 x 960 pixels) - Processeur: Sc7731 Quad-core (4xA7 1.3ghz) - Mémoire RAM: 2 Go - Capacité Stockage : 16 Go - Appareil Photo Arrière: 5 Mégapixels - Appareil Photo Avant: 2 Mégapixels - Double SIM - Ca... 159,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-1-2go-16go-vert.html
Smartphone LESIA YOUNG 6  4Go 16Go - Noir,Lesia,YOUNG6-2/16-BLACK,179.000,,2,16.0,3000.0,6.0,8.0,5.0,3G,,Octa Core,Noir,,Oui,"Smartphone LESIA YOUNG 6  4Go 16Go - Noir [YOUNG6-2/16-BLACK] Ecran 6"" IPS - Processeur : Octa-Core - Connectivité :3G - Système d'exploitation : Android - Mémoire RAM: 2Go+2Go - Capacité Stockage : 16Go - Appareil Photo Avant: 5 Mégapixels - Appareil Photo Arrière :  8 Mégapixels ... 179,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-6-2go-16go-noir.html
Smartphone LESIA YOUNG 6   4Go 16Go - Gold,Lesia,YOUNG6-2/16-GOLD,179.000,,2,16.0,3000.0,6.0,8.0,5.0,3G,,Octa Core,Gold,,Oui,"Smartphone LESIA YOUNG 6   4Go 16Go - Gold [YOUNG6-2/16-GOLD] Ecran 6"" IPS - Processeur : Octa-Core - Connectivité :3G - Système d'exploitation : Android - Mémoire RAM: 2Go + 2Go- Capacité Stockage : 16Go - Appareil Photo Avant: 5 Mégapixels - Appareil Photo Arrière :  8 Mégapixels... 179,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-6-2go-16go-gold.html
Smartphone Lesia Young 6 2 + 2Go 16Go - Silver,Lesia,YOUNG6-2/16-SILVER,179.000,,2,16.0,3000.0,6.1,8.0,5.0,4G,,Octa Core,Silver,,Oui,"Smartphone Lesia Young 6 2 + 2Go 16Go - Silver [YOUNG6-2/16-SILVER] Ecran 6.1 pouces IPS - Processeur: Octa-Core - Système d’exploitation: Android - Mémoire: 2Go Extensible jusqu'à 4Go - Stockage: 16Go - Appareil photo arrière: 8 Mégapixels - Avant: 5 Mégapixels - Capacité de Batterie: 3... 179,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-6-2-2go-16go-silver.html
Smartphone LESIA YOUNG 2   4Go 32Go - Purple,Lesia,YOUNG2-2/32-PURPLE,199.000,,2,32.0,5000.0,6.56,8.0,5.0,4G,,Octa Core,Purple,,Oui,"Smartphone LESIA YOUNG 2   4Go 32Go - Purple [YOUNG2-2/32-PURPLE] Ecran 6,56"" pouces HD+ IPS - Processeur : Octa-core - Mémoire RAM: 2Go + 2Go - Capacité Stockage : 32 Go - Appareil Photo Avant: 5 Mégapixels - Appareil Photo Arrière : 8 Mégapixels - Double SIM - Capteurs: Reconnaissanc... 199,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-2-4go-32go-purple.html
Smartphone LESIA YOUNG 2 4Go 32Go - Vert,Lesia,YOUNG2-2/32-GREEN,199.000,,2,32.0,5000.0,6.56,8.0,5.0,4G,,Octa Core,Vert,,Oui,"Smartphone LESIA YOUNG 2 4Go 32Go - Vert [YOUNG2-2/32-GREEN] Ecran 6,56"" pouces HD+ IPS - Processeur: Octa-core - Mémoire RAM: 2Go + 2Go - Capacité Stockage: 32 Go - Appareil Photo Avant: 5 Mégapixels - Appareil Photo Arrière: 8 Mégapixels - Double SIM - Capteurs: Reconnaissance F... 199,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-2-4go-32go-vert.html
Smartphone LESIA YOUNG 2 4Go 32Go - Dark Bleu,Lesia,YOUNG2-2/32-DBLUE,199.000,,2,32.0,5000.0,6.56,8.0,5.0,4G,,Octa Core,Dark Bleu,,Oui,"Smartphone LESIA YOUNG 2 4Go 32Go - Dark Bleu [YOUNG2-2/32-DBLUE] Ecran 6,56"" pouces HD+ IPS - Processeur: Octa-core - Mémoire RAM: 2Go + 2Go - Capacité Stockage: 32 Go - Appareil Photo Avant: 5 Mégapixels - Appareil Photo Arrière: 8 Mégapixels - Double SIM - Capteurs: Reconnaissance F... 199,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-2-4go-32go-dark-bleu.html
Smartphone LESIA YOUNG 3  2+2 Go 32Go - Rose,Lesia,YOUNG3-2/32-PINK,229.900,209.000,4,32.0,5000.0,6.56,5.0,5.0,4G,,Octa Core,Rose,,Oui,"Smartphone LESIA YOUNG 3  2+2 Go 32Go - Rose [YOUNG3-2/32-PINK] Ecran 6,56"" pouces HD+ IPS - Processeur: Octa-core - Système d'exploitation: Android - Mémoire RAM: 4Go (2 + 2 extensible) - Capacité Stockage: 32 Go - Appareil Photo Avant: 5 Mégapixels - Appareil Photo Arrière : AI 8 M... 209,000 DT 229,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-3-2-2-go-32go-rose.html
Smartphone LESIA YOUNG 3  2+2 Go 32Go - Sky blue,Lesia,YOUNG3-2/32-SKYBLUE,229.900,209.000,4,32.0,5000.0,6.56,8.0,5.0,4G,Android 13,Octa Core,Sky blue,,Oui,"Smartphone LESIA YOUNG 3  2+2 Go 32Go - Sky blue [YOUNG3-2/32-SKYBLUE] Ecran 6,56"" pouces HD+ IPS - Processeur: Octa-Core - Système d’exploitation : Android 13 - Mémoire : 4Go (2 + 2 extensible) - Stockage: 32Go - Appareil photo arrière : AI 8 Mégapixels - Avant : 5 Mégapixels - Capacité d... 209,000 DT 229,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-3-2-2-go-32go-sky-blue.html
Smartphone LESIA YOUNG 3  2+2 Go 32Go - Dark bleu,Lesia,YOUNG3-2/32-DBLUE,229.900,209.000,4,32.0,5000.0,6.56,8.0,5.0,4G,Android 13,Octa Core,Dark bleu,,Oui,"Smartphone LESIA YOUNG 3  2+2 Go 32Go - Dark bleu [YOUNG3-2/32-DBLUE] Ecran 6,56"" pouces HD+ IPS - Processeur: Octa-Core - Système d’exploitation : Android 13 - Mémoire : 4Go (2 + 2 extensible) - Stockage: 32Go - Appareil photo arrière : AI 8 Mégapixels - Avant : 5 Mégapixels - Capacité de... 209,000 DT 229,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-3-2-2-go-32go-dark-bleu.html
Smartphone Lesia Young 9 6Go 32Go 3G - Bleu Foncé,Lesia,YOUNG9-6/32-DBLUE,219.900,,6,32.0,5000.0,6.56,,,3G,,,Bleu Foncé,,Oui,"Smartphone Lesia Young 9 6Go 32Go 3G - Bleu Foncé [YOUNG9-6/32-DBLUE] Smartphone Lesia Young 9 - Écran : 6,56"" HD - Processeur : SC7731E - Système d’exploitation : Android - Mémoire : 6 Go - Stockage : 32 Go - offre un confort visuel adapté à la consultation de contenus multimédias - Appar... 219,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-9-6go-32go-6-56-hd-bleu-fonce.html
Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Noir,Tecno,TECNO-BG6M-2/64-BK,259.000,,2,64.0,5000.0,6.6,,,4G,,Octa Core,Noir,,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Noir [TECNO-BG6M-2/64-BK] Écran 6,6 pouces HD+ Hole Screen (720 × 1600 pixels) 90 Hz - Processeur: Unisoc T606 Octa-core - Système d'exploitation: Android - Mémoire RAM: 2Go extensible jusqu’à 4 Go - Capacité de stockage: 64Go - Appareil photo ar... 259,000 DT Disponibilité En stock",https://www.mytek.tn/tecno-spark-go-2025-bg6m-2go-64go-noir.html
Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Blanc,Tecno,TECNO-BG6M-2/64-WHITE,259.000,,2,64.0,5000.0,6.6,,,4G,,Octa Core,Blanc,,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Blanc [TECNO-BG6M-2/64-WHITE] Écran 6,6 pouces HD+ Hole Screen (720 × 1600 pixels) 90 Hz - Processeur: Unisoc T606 Octa-core - Système d'exploitation: Android - Mémoire RAM: 2Go extensible jusqu’à 4 Go - Capacité de stockage: 64Go - Appareil photo ar... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-spark-go-2025-bg6m-2-2go-64go-blanc.html
Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Gris,Tecno,TECNO-BG6M-2/64-GREY,259.000,,2,64.0,5000.0,6.6,,,4G,,Octa Core,Gris,,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Gris [TECNO-BG6M-2/64-GREY] Écran 6,6 pouces HD+ Hole Screen (720 × 1600 pixels) 90 Hz - Processeur: Unisoc T606 Octa-core - Système d'exploitation: Android - Mémoire RAM: 2Go extensible jusqu’à 4 Go - Capacité de stockage: 64Go - Appareil photo ar... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-spark-go-2025-bg6m-2-2go-64go-gris.html
Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Bleu,Tecno,TECNO-BG6M-2/64-BLUE,259.000,,2,64.0,5000.0,6.6,,,4G,,Octa Core,Bleu,,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Bleu [TECNO-BG6M-2/64-BLUE] Écran 6,6 pouces HD+ Hole Screen (720 × 1600 pixels) 90 Hz - Processeur: Unisoc T606 Octa-core - Système d'exploitation: Android - Mémoire RAM: 2Go extensible jusqu’à 4 Go - Capacité de stockage: 64Go - Appareil photo ar... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-spark-go-2025-bg6m-2-2go-64go-bleu.html
Smartphone Lesia Bright - 4+4GO/64GO - Gold,Lesia,BRIGHT-4/64-GOLD,259.000,,4,64.0,5000.0,6.56,16.0,8.0,4G,,Octa Core,Gold,,Oui,"Smartphone Lesia Bright - 4+4GO/64GO - Gold [BRIGHT-4/64-GOLD] Ecran 6,56"" pouces HD - Processeur : Octa-Core - Mémoire RAM: 4Go + 4Go - Capacité Stockage : 64Go - Appareil Photo Avant: 8 Mégapixels - Appareil Photo Arrière: 16 Mégapixels + 2 Ring Light - Double SIM - Connectivités ... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-bright-3-4-4go-64go-gold.html
Smartphone Lesia Bright - 4+4GO/64GO - Dark Bleu,Lesia,BRIGHT-4/64-DBLUE,259.000,,4,64.0,5000.0,6.56,16.0,8.0,4G,,Octa Core,Dark Bleu,,Oui,"Smartphone Lesia Bright - 4+4GO/64GO - Dark Bleu [BRIGHT-4/64-DBLUE] Ecran 6,56"" pouces HD - Processeur : Octa-Core - Mémoire RAM: 4Go + 4Go - Capacité Stockage : 64Go - Appareil Photo Avant: 8 Mégapixels - Appareil Photo Arrière: 16 Mégapixels + 2 Ring Light - Double SIM - Connectivités ... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-bright-4-4go-64go-dark-bleu.html
Smartphone LESIA Bright 4G  8Go 64Go - Sky blue,Lesia,BRIGHT-4/64-SBLUE,259.900,,4,64.0,5000.0,6.56,16.0,8.0,4G,,Octa Core,Sky blue,,Oui,"Smartphone LESIA Bright 4G  8Go 64Go - Sky blue [BRIGHT-4/64-SBLUE] Ecran 6,56"" pouces HD - Processeur : Octa-Core - Mémoire RAM: 4Go + 4Go - Capacité Stockage : 64Go - Appareil Photo Avant: 8 Mégapixels - Appareil Photo Arrière : 16 Mégapixels + 2 Ring Light - Double SIM - Connectivités... 259,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-bright-4g-8go-64go-sky-blue.html
Smartphone INFINIX Smart 10 3/64G - TWILIGHT GOLD,Infinix,X6725-SMART10-3/64-TGOLD,265.000,,3,64.0,5000.0,6.7,8.0,,4G,Android 15,Octa Core,TWILIGHT GOLD,,Oui,"Smartphone INFINIX Smart 10 3/64G - TWILIGHT GOLD [X6725-SMART10-3/64-TGOLD] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 3Go - Stockage: 64Go - Appareil Photo Arrière: 8MP , Frontal... 265,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-3-64g-twilight-gold.html
Smartphone INFINIX Smart 10 3Go 64Go - TITANIUM SILVER,Infinix,X6725-SMART10-3/64-TSILVER,265.000,,3,64.0,5000.0,6.7,8.0,,4G,Android 15,Octa Core,TITANIUM SILVER,,Oui,"Smartphone INFINIX Smart 10 3Go 64Go - TITANIUM SILVER [X6725-SMART10-3/64-TSILVER] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 3Go - Stockage: 64Go - Appareil Photo Arrière: 8MP , Frontal... 265,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-3go-64go-titanium-silver.html
Smartphone INFINIX Smart 10 3Go 64Go - SEELK BLACK,Infinix,X6725-SMART10-3/64-SBLACK,265.000,,3,64.0,5000.0,6.7,8.0,,4G,Android 15,Octa Core,SEELK BLACK,,Oui,"Smartphone INFINIX Smart 10 3Go 64Go - SEELK BLACK [X6725-SMART10-3/64-SBLACK] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 3Go - Stockage: 64Go - Appareil Photo Arrière: 8MP , Frontal... 265,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-3go-64go-seelk-black.html
Smartphone TECNO KM4 Spark 3/64GO 2025 - Green,Tecno,TECNO-KM4-3/64-GREEN,269.000,,3,64.0,5000.0,6.67,,,4G,Android 15,,Green,,Non,"Smartphone TECNO KM4 Spark 3/64GO 2025 - Green [TECNO-KM4-3/64-GREEN] Smartphone TECNO KM4 Spark - Écran: LCD IPS 6.67"" (720 x 1600 pixels) - Taux de rafraîchissement: 120 Hz - Capacité de la batterie: 5000 mAh - Système d'exploitation: Android 15, HIOS 15 - RAM: 3Go - Stockage: 64Go - App... 269,000 DT Disponibilité Épuisé",https://www.mytek.tn/smartphone-tecno-km4-spark-3-64go-2025-green.html
Smartphone TECNO KM4 Spark 3/64GO 2025 - White,Tecno,TECNO-KM4-3/64-WHITE,269.000,,3,64.0,5000.0,6.67,,,4G,Android 15,,White,,Oui,"Smartphone TECNO KM4 Spark 3/64GO 2025 - White [TECNO-KM4-3/64-WHITE] Smartphone TECNO KM4 Spark - Écran: LCD IPS 6.67"" (720 x 1600 pixels) - Taux de rafraîchissement: 120 Hz - Capacité de la batterie: 5000 mAh - Système d'exploitation: Android 15, HIOS 15 - RAM: 3Go - Stockage: 64Go - App... 269,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-km4-spark-3-64go-2025-white.html
Smartphone ITEL A50C 2Go + 64Go - Sapphire Black,Itel,ITEL-A50C-2/64-BK,269.000,,2,64.0,4000.0,6.56,8.0,5.0,4G,Android 14,Octa Core,Sapphire Black,,Oui,"Smartphone ITEL A50C 2Go + 64Go - Sapphire Black [ITEL-A50C-2/64-BK] Écran 6.56"" HD (1612 x 720 Pixels) - Processeur: Unisoc T603 Octa-core - Système d'exploitation: Android 14 (édition Go) - Mémoire RAM: 2Go  - Stockage: 64Go - Appareil Photo Arrière: 8.0 MP - Appareil Photo Avant: 5.0 M... 269,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-itel-a50c-2go-64go-sapphire-black.html
Smartphone ITEL A50C 2Go + 64Go - Dawn blue,Itel,ITEL-A50C-2/64-DBLUE,269.000,,2,64.0,4000.0,6.56,8.0,,4G,Android 14,Octa Core,Dawn blue,,Oui,"Smartphone ITEL A50C 2Go + 64Go - Dawn blue [ITEL-A50C-2/64-DBLUE] Écran 6.56"" HD (1612 x 720 Pixels) - Processeur: Unisoc T603 Octa-core - Système d'exploitation: Android 14 (édition Go) - Mémoire RAM: 2Go (extensible jusqu'à 4Go) - Stockage: 64Go - Appareil Photo Arrière: 8.0 MP - App... 269,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-itel-a50c-2go-64go-dawn-blue.html
