name,brand,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,price,url,source,specs_sum_normalized,value_score,price_tier,ram_per_1k_tnd,storage_per_1k_tnd,battery_per_1k_tnd,camera_rear_per_1k_tnd,camera_total_mp,storage_ram_ratio,battery_per_inch,total_specs_score,is_5g,is_flagship_brand,is_latest_android
Smartphone Lesia Young 1 | 2Go / 16Go | Vert,Lesia,4.0,16.0,2500.0,5.0,5.0,2.0,4G,Android 13,Quad Core,159.0,https://www.tunisianet.com.tn/smartphone-tunisie/91032-smartphone-lesia-young-1-2go-16go-vert.html,Tunisianet,0.005545962677308366,0.034880268410744444,Budget,25.157232704402514,100.62893081761005,15723.270440251572,31.446540880503143,7.0,4.0,500.0,0.008318944015962549,0,0,1
Smartphone Lesia Young 1 | 2Go / 16Go | Bleu,Lesia,4.0,16.0,2500.0,5.0,5.0,2.0,4G,Android 13,Quad Core,159.0,https://www.tunisianet.com.tn/smartphone-tunisie/91033-smartphone-lesia-young-1-2go-16go-bleu.html,Tunisianet,0.005545962677308366,0.034880268410744444,Budget,25.157232704402514,100.62893081761005,15723.270440251572,31.446540880503143,7.0,4.0,500.0,0.008318944015962549,0,0,1
Smartphone Lesia Young 6 4Go /16Go  - Noir,Lesia,4.0,16.0,3000.0,6.0,5.0,2.0,3G,Android 13,Octa Core,179.0,https://www.tunisianet.com.tn/smartphone-tunisie/88987-smartphone-lesia-young-6-4go-16go-noir.html,Tunisianet,0.1076330770148764,0.6013021062283598,Budget,22.3463687150838,89.3854748603352,16759.77653631285,27.932960893854748,7.0,4.0,500.0,0.04756576797240537,0,0,1
Smartphone Lesia Young 6 4Go /16Go  - Silver,Lesia,4.0,16.0,3000.0,6.0,5.0,2.0,3G,Android 13,Octa Core,179.0,https://www.tunisianet.com.tn/smartphone-tunisie/88989-smartphone-lesia-young-6-4go-16go-silver.html,Tunisianet,0.1076330770148764,0.6013021062283598,Budget,22.3463687150838,89.3854748603352,16759.77653631285,27.932960893854748,7.0,4.0,500.0,0.04756576797240537,0,0,1
Smartphone Lesia Young 6 4Go /16Go  - Gold,Lesia,4.0,16.0,3000.0,6.0,5.0,2.0,3G,Android 13,Octa Core,179.0,https://www.tunisianet.com.tn/smartphone-tunisie/88988-smartphone-lesia-young-6-4go-16go-noir.html,Tunisianet,0.1076330770148764,0.6013021062283598,Budget,22.3463687150838,89.3854748603352,16759.77653631285,27.932960893854748,7.0,4.0,500.0,0.04756576797240537,0,0,1
Smartphone Lesia Young 2 4Go 32Go  -BLEU NUIT,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,199.0,https://www.tunisianet.com.tn/smartphone-tunisie/88990-smartphone-lesia-young-2-4go-32go-bleu-nuit.html,Tunisianet,0.24470714515186245,1.2296841464917712,Budget,20.100502512562812,160.8040201005025,25125.628140703517,40.201005025125625,13.0,8.0,746.2686567164179,0.1348656702616483,0,0,1
Smartphone Lesia Young 2 4Go 32Go -VIOLET,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,199.0,https://www.tunisianet.com.tn/smartphone-tunisie/88999-smartphone-lesia-young-2-4go-32go-violet.html,Tunisianet,0.24470714515186245,1.2296841464917712,Budget,20.100502512562812,160.8040201005025,25125.628140703517,40.201005025125625,13.0,8.0,746.2686567164179,0.1348656702616483,0,0,1
Smartphone Lesia Young 2 4Go 32Go -Vert,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,199.0,https://www.tunisianet.com.tn/smartphone-tunisie/89000-smartphone-lesia-young-2-4go-32go-vert.html,Tunisianet,0.24470714515186245,1.2296841464917712,Budget,20.100502512562812,160.8040201005025,25125.628140703517,40.201005025125625,13.0,8.0,746.2686567164179,0.1348656702616483,0,0,1
Smartphone Lesia Young 3 2+2Go 32Go  -ROSE,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,209.0,https://www.tunisianet.com.tn/smartphone-tunisie/89003-smartphone-lesia-young-3-22go-32go-rose.html,Tunisianet,0.24470714515186245,1.170847584458672,Budget,19.138755980861244,153.11004784688996,23923.444976076556,38.27751196172249,13.0,8.0,746.2686567164179,0.1348656702616483,0,0,1
Smartphone Lesia Young 3 2+2Go 32Go  -BLEU NUIT,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,209.0,https://www.tunisianet.com.tn/smartphone-tunisie/89001-smartphone-lesia-young-3-22go-32go-bleu-nuit.html,Tunisianet,0.24470714515186245,1.170847584458672,Budget,19.138755980861244,153.11004784688996,23923.444976076556,38.27751196172249,13.0,8.0,746.2686567164179,0.1348656702616483,0,0,1
