model,brand,reference,price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone Lesia Young 1 2Go 16Go Bleu,Lesia,Réf :LESIA-YOUNG1-DARKBLUE,159.000,2,16,,,,,,,,Bleu,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG1-DARKBLUE Smartphone Lesia Young 1 2Go 16Go Bleu 159,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/95003-smartphone-lesia-young-1-2go-16go-bleu.html
Smartphone Lesia Young 1 2Go 16Go Vert,Lesia,Réf :LESIA-YOUNG1-GREEN,159.000,2,16,,,,,,,,Vert,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG1-GREEN Smartphone Lesia Young 1 2Go 16Go Vert 159,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/95004-smartphone-lesia-young-1-2go-16go-vert.html
Smartphone Lesia Young 6 2Go 16Go Gold,Lesia,Réf :LESIA-YOUNG6/GOLD,179.000,2,16,,,,,,,,Gold,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG6/GOLD Smartphone Lesia Young 6 2Go 16Go Gold 179,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/82611-smartphone-lesia-young-6-2go-16go-gold.html
Smartphone Lesia Young 6 2Go 16Go Silver,Lesia,Réf :LESIA-YOUNG6/SILVER,179.000,2,16,,,,,,,,Silver,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG6/SILVER Smartphone Lesia Young 6 2Go 16Go Silver 179,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/91526-smartphone-lesia-young-6-2go-16go-silver.html
Smartphone Lesia Young 6 2Go 16Go Blanc,Lesia,Réf :LESIA-YOUNG6/WHITE,179.000,2,16,,,,,,,,Blanc,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG6/WHITE Smartphone Lesia Young 6 2Go 16Go Blanc 179,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/90166-smartphone-lesia-young-6-2go-16go-blanc.html
Smartphone Lesia Young 6 2Go 16Go Noir,Lesia,Réf :LESIA-YOUNG6/NOIR,179.000,2,16,,,,,,,,Noir,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG6/NOIR Smartphone Lesia Young 6 2Go 16Go Noir 179,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/82614-smartphone-lesia-young-6-2go-16go-noir.html
Smartphone Lesia Young 2 2Go 32Go Violet,Lesia,Réf :LESIA-YOUNG2/PL,199.000,2,32,,,,,,,,Violet,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG2/PL Smartphone Lesia Young 2 2Go 32Go Violet 199,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/94913-smartphone-lesia-young-2-2go-32go-violet.html
Smartphone Clever S1 2Go 32Go Vert,Clever,Réf :CLEVER-S1-2/32-VERT,199.000,2,32,,,,,,,,Vert,,Oui,"j'achète Aperçu rapide Réf : CLEVER-S1-2/32-VERT Smartphone Clever S1 2Go 32Go Vert 199,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/96144-smartphone-clever-s1-2go-32go-vert.html
Smartphone Clever S1 2Go 32Go Noir,Clever,Réf :CLEVER-S1-2/32-NOIR,199.000,2,32,,,,,,,,Noir,,Oui,"j'achète Aperçu rapide Réf : CLEVER-S1-2/32-NOIR Smartphone Clever S1 2Go 32Go Noir 199,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/96148-smartphone-clever-s1-2go-32go-noir.html
Smartphone Lesia Young 2 2Go 32Go Dark Bleu,Lesia,Réf :LESIA-YOUNG2/DBL,199.000,2,32,,,,,,,,Bleu,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG2/DBL Smartphone Lesia Young 2 2Go 32Go Dark Bleu 199,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/82834-smartphone-lesia-young-2-2go-32go-dark-bleu.html
Smartphone Lesia Young 2 2Go 32Go Vert,Lesia,Réf :LESIA-YOUNG2/GN,199.000,2,32,,,,,,,,Vert,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG2/GN Smartphone Lesia Young 2 2Go 32Go Vert 199,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/82831-smartphone-lesia-young-2-2go-32go-bleu.html
Smartphone Lesia Young 3 4Go 32Go Rose,Lesia,Réf :LESIA-YOUNG3/PINK,209.000,4,32,,,,,,,,Rose,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG3/PINK Smartphone Lesia Young 3 4Go 32Go Rose 209,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/90167-smartphone-lesia-young-3-4go-32go-rose.html
Smartphone Lesia Young 3 4Go 32Go Bleu,Lesia,Réf :LESIA-YOUNG3/BL,209.000,4,32,,,,,,,,Bleu,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG3/BL Smartphone Lesia Young 3 4Go 32Go Bleu 209,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/82821-smartphone-lesia-young-3-2go-32go-bleu.html
Smartphone Lesia Young 3 4Go 32Go Dark Bleu,Lesia,Réf :LESIA-YOUNG3/DBL,209.000,4,32,,,,,,,,Bleu,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG3/DBL Smartphone Lesia Young 3 4Go 32Go Dark Bleu 209,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/82615-smartphone-lesia-young-3-2go-32go-dark-bleu.html
Smartphone Lesia Young 9 6Go 32Go Bleu Foncé,Lesia,Réf :LESIA-YOUNG9-DARKBLUE,219.000,6,32,,,,,,,,,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG9-DARKBLUE Smartphone Lesia Young 9 6Go 32Go Bleu Foncé 219,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/95822-smartphone-lesia-young-9-6go-32go-bleu-fonce.html
Smartphone Lesia Young 9 6Go 32Go Vert,Lesia,Réf :LESIA-YOUNG9-GREEN,219.000,6,32,,,,,,,,Vert,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG9-GREEN Smartphone Lesia Young 9 6Go 32Go Vert 219,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/95823-smartphone-lesia-young-9-6go-32go-vert.html
Smartphone Vivo Y02t 4Go 64Go Bleu,Vivo,Réf :VIVO-Y02T-4/64-BL,229.000,4,64,,,,,,,,Bleu,,Sur commande,"Promo j'achète Aperçu rapide Réf : VIVO-Y02T-4/64-BL Smartphone Vivo Y02t 4Go 64Go Bleu 399,000 DT -170,000 DT 229,000 DT Sur commande j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/58413-smartphone-vivo-y02t-4go-64go-bleu.html
Smartphone Lesia Bright 3 4Go 64Go Bleu,Lesia,Réf :LESIA-BRIGHT3/BLUE,259.000,4,64,,,,,,,,Bleu,,Oui,"j'achète Aperçu rapide Réf : LESIA-BRIGHT3/BLUE Smartphone Lesia Bright 3 4Go 64Go Bleu 259,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/82616-smartphone-lesia-bright-3-2go-32go-bleu.html
Smartphone Lesia Bright 3 4Go 64Go Gold,Lesia,Réf :LESIA-BRIGHT3/GOLD,259.000,4,64,,,,,,,,Gold,,Oui,"j'achète Aperçu rapide Réf : LESIA-BRIGHT3/GOLD Smartphone Lesia Bright 3 4Go 64Go Gold 259,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/91523-smartphone-lesia-bright-3-4go-64go-gold.html
