model,brand,reference,price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone Lesia Young 1 | 2Go / 16Go | Vert,Lesia,LESIA-YOUNG1-VR,159.000,4.0,16,2500.0,5.0,5.0,2.0,4G,,Quad Core,Vert,1 an,Oui,"Smartphone Lesia Young 1 | 2Go / 16Go | Vert [LESIA-YOUNG1-VR] Double SIM - Ecran 5.5"" IPS - Processeur Quad-core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Système d’exploitation : Android - Caméra Arrière : 5MP / Frontale : 2MP - 4G - Reconnaissance faciale - Capacité de Batterie 2500 mAh - Wifi, Bluetooth - Couleur Vert - Garantie 1 an En stock 159,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 159,000 DT Prix En stock Ajouter a",https://www.tunisianet.com.tn/smartphone-tunisie/91032-smartphone-lesia-young-1-2go-16go-vert.html
Smartphone Lesia Young 1 | 2Go / 16Go | Bleu,Lesia,LESIA-YOUNG1-BL,159.000,4.0,16,2500.0,5.0,5.0,2.0,4G,,Quad Core,Bleu,1 an,Oui,"Smartphone Lesia Young 1 | 2Go / 16Go | Bleu [LESIA-YOUNG1-BL] Double SIM - Ecran 5.5"" IPS - Processeur Quad-core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Système d’exploitation : Android - Caméra Arrière : 5MP / Frontale : 2MP - 4G - Reconnaissance faciale - Capacité de Batterie 2500 mAh - Wifi, Bluetooth - Couleur Bleu - Garantie 1 an En stock 159,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 159,000 DT Prix En stock Ajouter a",https://www.tunisianet.com.tn/smartphone-tunisie/91033-smartphone-lesia-young-1-2go-16go-bleu.html
Smartphone Lesia Young 6 4Go /16Go  - Noir,Lesia,LESIA-YOUNG6-BK,179.000,4.0,16,3000.0,6.0,5.0,2.0,3G,Android 13,Octa Core,Noir,1 an,Oui,"Smartphone Lesia Young 6 4Go /16Go  - Noir [LESIA-YOUNG6-BK] Double SIM - Ecran 6"" - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Android 13 - DCaméra Arrière : 5MP / Frontale : 2MP - Réseau 3G - Reconnaissance faciale - Batterie 3000 mAh - Couleur Noir - Garantie 1 an En stock 179,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 179,000 DT Prix En stock Ajouter au panier Favoris Comparer Disponibilité Boutique Tun",https://www.tunisianet.com.tn/smartphone-tunisie/88987-smartphone-lesia-young-6-4go-16go-noir.html
Smartphone Lesia Young 6 4Go /16Go  - Silver,Lesia,LESIA-YOUNG6-SL,179.000,4.0,16,3000.0,6.0,5.0,2.0,3G,Android 13,Octa Core,Silver,1 an,Oui,"Smartphone Lesia Young 6 4Go /16Go  - Silver [LESIA-YOUNG6-SL] Double SIM - Ecran 6"" - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Android 13 - DCaméra Arrière : 5MP / Frontale : 2MP - Réseau 3G - Reconnaissance faciale - Batterie 3000 mAh - Couleur Silver - Garantie 1 an En stock 179,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 179,000 DT Prix En stock Ajouter au panier Favoris Comparer Disponibilité Boutique",https://www.tunisianet.com.tn/smartphone-tunisie/88989-smartphone-lesia-young-6-4go-16go-silver.html
Smartphone Lesia Young 6 4Go /16Go  - Gold,Lesia,LESIA-YOUNG6-GD,179.000,4.0,16,3000.0,6.0,5.0,2.0,3G,Android 13,Octa Core,Gold,1 an,Oui,"Smartphone Lesia Young 6 4Go /16Go  - Gold [LESIA-YOUNG6-GD] Double SIM - Ecran 6"" - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Android 13 - DCaméra Arrière : 5MP / Frontale : 2MP - Réseau 3G - Reconnaissance faciale - Batterie 3000 mAh - Couleur Gold - Garantie 1 an En stock 179,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 179,000 DT Prix En stock Ajouter au panier Favoris Comparer Disponibilité Boutique Tun",https://www.tunisianet.com.tn/smartphone-tunisie/88988-smartphone-lesia-young-6-4go-16go-noir.html
Smartphone Lesia Young 2 4Go 32Go  -BLEU NUIT,Lesia,LESIA-YOUNG2-BL,199.000,4.0,32,5000.0,5.6,8.0,5.0,4G,,Octa Core,BLEU NUIT,1 an,Oui,"Smartphone Lesia Young 2 4Go 32Go  -BLEU NUIT [LESIA-YOUNG2-BL] Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Bleu - Garantie 1 an En stock 199,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Driv",https://www.tunisianet.com.tn/smartphone-tunisie/88990-smartphone-lesia-young-2-4go-32go-bleu-nuit.html
Smartphone Lesia Young 2 4Go 32Go -VIOLET,Lesia,LESIA-YOUNG2-PR,199.000,4.0,32,5000.0,5.6,8.0,5.0,4G,,Octa Core,VIOLET,1 an,Oui,"Smartphone Lesia Young 2 4Go 32Go -VIOLET [LESIA-YOUNG2-PR] Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Violet - Garantie 1 an En stock 199,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-",https://www.tunisianet.com.tn/smartphone-tunisie/88999-smartphone-lesia-young-2-4go-32go-violet.html
Smartphone Lesia Young 2 4Go 32Go -Vert,Lesia,LESIA-YOUNG2-VR,199.000,4.0,32,5000.0,5.6,8.0,5.0,4G,,Octa Core,Vert,1 an,Oui,"Smartphone Lesia Young 2 4Go 32Go -Vert [LESIA-YOUNG2-VR] Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Vert - Garantie 1 an En stock 199,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 1",https://www.tunisianet.com.tn/smartphone-tunisie/89000-smartphone-lesia-young-2-4go-32go-vert.html
Smartphone Lesia Young 3 2+2Go 32Go  -ROSE,Lesia,LESIA-YOUNG3-PK,209.000,4.0,32,5000.0,5.6,8.0,5.0,4G,Android 13,Octa Core,ROSE,1 an,Oui,"Smartphone Lesia Young 3 2+2Go 32Go  -ROSE [LESIA-YOUNG3-PK] Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android 13 - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Rose - Garantie 1 an En stock 209,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Driv",https://www.tunisianet.com.tn/smartphone-tunisie/89003-smartphone-lesia-young-3-22go-32go-rose.html
Smartphone Lesia Young 3 2+2Go 32Go  -BLEU NUIT,Lesia,LESIA-YOUNG3-BL,209.000,4.0,32,5000.0,5.6,8.0,5.0,4G,Android 13,Octa Core,BLEU NUIT,1 an,Oui,"Smartphone Lesia Young 3 2+2Go 32Go  -BLEU NUIT [LESIA-YOUNG3-BL] Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android 13 - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Bleu - Garantie 1 an En stock 209,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis",https://www.tunisianet.com.tn/smartphone-tunisie/89001-smartphone-lesia-young-3-22go-32go-bleu-nuit.html
