name,brand,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,price,url,source
Smartphone Lesia Young 1 | 2Go / 16Go | Vert,Lesia,4.0,16.0,2500.0,5.0,5.0,2.0,4G,Android 13,Quad Core,159.0,https://www.tunisianet.com.tn/smartphone-tunisie/91032-smartphone-lesia-young-1-2go-16go-vert.html,Tunisianet
Smartphone Lesia Young 1 | 2Go / 16Go | Bleu,Lesia,4.0,16.0,2500.0,5.0,5.0,2.0,4G,Android 13,Quad Core,159.0,https://www.tunisianet.com.tn/smartphone-tunisie/91033-smartphone-lesia-young-1-2go-16go-bleu.html,Tunisianet
Smartphone Lesia Young 6 4Go /16Go  - Noir,Lesia,4.0,16.0,3000.0,6.0,5.0,2.0,3G,Android 13,Octa Core,179.0,https://www.tunisianet.com.tn/smartphone-tunisie/88987-smartphone-lesia-young-6-4go-16go-noir.html,Tunisianet
Smartphone Lesia Young 6 4Go /16Go  - Silver,Lesia,4.0,16.0,3000.0,6.0,5.0,2.0,3G,Android 13,Octa Core,179.0,https://www.tunisianet.com.tn/smartphone-tunisie/88989-smartphone-lesia-young-6-4go-16go-silver.html,Tunisianet
Smartphone Lesia Young 6 4Go /16Go  - Gold,Lesia,4.0,16.0,3000.0,6.0,5.0,2.0,3G,Android 13,Octa Core,179.0,https://www.tunisianet.com.tn/smartphone-tunisie/88988-smartphone-lesia-young-6-4go-16go-noir.html,Tunisianet
Smartphone Lesia Young 2 4Go 32Go  -BLEU NUIT,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,199.0,https://www.tunisianet.com.tn/smartphone-tunisie/88990-smartphone-lesia-young-2-4go-32go-bleu-nuit.html,Tunisianet
Smartphone Lesia Young 2 4Go 32Go -VIOLET,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,199.0,https://www.tunisianet.com.tn/smartphone-tunisie/88999-smartphone-lesia-young-2-4go-32go-violet.html,Tunisianet
Smartphone Lesia Young 2 4Go 32Go -Vert,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,199.0,https://www.tunisianet.com.tn/smartphone-tunisie/89000-smartphone-lesia-young-2-4go-32go-vert.html,Tunisianet
Smartphone Lesia Young 3 2+2Go 32Go  -ROSE,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,209.0,https://www.tunisianet.com.tn/smartphone-tunisie/89003-smartphone-lesia-young-3-22go-32go-rose.html,Tunisianet
Smartphone Lesia Young 3 2+2Go 32Go  -BLEU NUIT,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,209.0,https://www.tunisianet.com.tn/smartphone-tunisie/89001-smartphone-lesia-young-3-22go-32go-bleu-nuit.html,Tunisianet
Smartphone Lesia Young 3 2+2Go 32Go  -SKY BLUE,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,209.0,https://www.tunisianet.com.tn/smartphone-tunisie/89002-smartphone-lesia-young-3-22go-32go-sky-blue.html,Tunisianet
Smartphone Lesia Young 9 / 6Go 32Go / Bleu Foncé,Lesia,6.0,32.0,5000.0,6.7,8.0,5.0,3G,Android 13,Unknown,219.0,https://www.tunisianet.com.tn/smartphone-tunisie/91882-smartphone-lesia-young-9-6go-32go-bleu-fonce.html,Tunisianet
Smartphone Lesia Young 9 / 6Go 32Go / Vert,Lesia,6.0,32.0,5000.0,6.7,8.0,5.0,3G,Android 13,Unknown,219.0,https://www.tunisianet.com.tn/smartphone-tunisie/91881-smartphone-lesia-young-9-6go-32go-vert.html,Tunisianet
Téléphone Portable LOGICOM LYRA | 2+2Go / 32Go | Noir,LOGICOM,4.0,32.0,3000.0,6.7,8.0,5.0,4G,Android 14,Quad Core,219.0,https://www.tunisianet.com.tn/smartphone-tunisie/91038-telephone-portable-logicom-lyra-22go-32go-noir.html,Tunisianet
